time,expected_voltage,actual_voltage
35.371000,0.514000,0.513914
35.372000,0.514000,0.515789
35.373000,0.514000,0.512039
35.374000,0.514000,0.514539
35.375000,0.514000,0.515477
35.376000,0.514000,0.514227
35.377000,0.514000,0.515164
35.378000,0.514000,0.516102
35.379000,0.514000,0.512977
35.380000,0.514000,0.515164
35.381000,0.514000,0.515164
35.382000,0.514000,0.513602
35.383000,0.514000,0.515164
35.384000,0.514000,0.514539
35.385000,0.514000,0.514852
35.386000,0.514000,0.514852
35.387000,0.514000,0.514539
35.388000,0.514000,0.514539
35.389000,0.514000,0.514852
35.390000,0.514000,0.513289
35.391000,0.514000,0.516414
35.392000,0.514000,0.515164
35.393000,0.514000,0.514852
35.394000,0.514000,0.513602
35.395000,0.514000,0.514227
35.396000,0.514000,0.515477
35.397000,0.514000,0.514852
35.398000,0.514000,0.467976
35.399000,0.514000,0.466413
35.400000,0.468000,0.467976
35.401000,0.468000,0.468913
35.402000,0.468000,0.469226
35.403000,0.468000,0.469851
35.404000,0.468000,0.468913
35.405000,0.468000,0.470163
35.406000,0.468000,0.466413
35.407000,0.468000,0.467976
35.408000,0.468000,0.467351
35.409000,0.468000,0.470163
35.410000,0.468000,0.467351
35.411000,0.468000,0.467663
35.412000,0.468000,0.467976
35.413000,0.468000,0.468601
35.414000,0.468000,0.466726
35.415000,0.468000,0.465788
35.416000,0.468000,0.467038
35.417000,0.468000,0.467663
35.418000,0.468000,0.468288
35.419000,0.468000,0.467663
35.420000,0.468000,0.470163
35.421000,0.468000,0.467976
35.422000,0.468000,0.467976
35.423000,0.468000,0.466726
35.424000,0.468000,0.467663
35.425000,0.468000,0.467351
35.426000,0.468000,0.468288
35.427000,0.468000,0.467038
35.428000,0.468000,0.467663
35.429000,0.468000,0.469538
35.430000,0.468000,0.467038
35.431000,0.468000,0.467351
35.432000,0.468000,0.467351
35.433000,0.468000,0.467976
35.434000,0.468000,0.467663
35.435000,0.468000,0.470788
35.436000,0.468000,0.467976
35.437000,0.468000,0.466726
35.438000,0.468000,0.469538
35.439000,0.468000,0.466726
35.440000,0.468000,0.468913
35.441000,0.468000,0.466413
35.442000,0.468000,0.466413
35.443000,0.468000,0.469538
35.444000,0.468000,0.468288
35.445000,0.468000,0.467976
35.446000,0.468000,0.469226
35.447000,0.468000,0.468913
35.448000,0.468000,0.467976
35.449000,0.468000,0.467663
35.450000,0.468000,0.468288
35.451000,0.468000,0.467038
35.452000,0.468000,0.468288
35.453000,0.468000,0.468601
35.454000,0.468000,0.467351
35.455000,0.468000,0.467976
35.456000,0.468000,0.466101
35.457000,0.468000,0.467663
35.458000,0.468000,0.468913
35.459000,0.468000,0.467663
35.460000,0.468000,0.470163
35.461000,0.468000,0.468913
35.462000,0.468000,0.467351
35.463000,0.468000,0.468601
35.464000,0.468000,0.467976
35.465000,0.468000,0.468601
35.466000,0.468000,0.469538
35.467000,0.468000,0.469538
35.468000,0.468000,0.464538
35.469000,0.468000,0.467351
35.470000,0.468000,0.469538
35.471000,0.468000,0.468913
35.472000,0.468000,0.469538
35.473000,0.468000,0.468913
35.474000,0.468000,0.468288
35.475000,0.468000,0.468601
35.476000,0.468000,0.469226
35.477000,0.468000,0.469538
35.478000,0.468000,0.468601
35.479000,0.468000,0.467663
35.480000,0.468000,0.469226
35.481000,0.468000,0.470163
35.482000,0.468000,0.467663
35.483000,0.468000,0.466726
35.484000,0.468000,0.467663
35.485000,0.468000,0.469538
